country,prevalence,cases,pop2022,continent
Ukraine,6.3,2800587,39701739.0,Europe
United States,5.9,17491047,338289857.0,North America
Australia,5.9,1318599,26177413.0,Oceania
Estonia,5.9,75667,1326062.0,Europe
Brazil,5.8,11548577,215313498.0,South America
Greece,5.7,593136,10384971.0,Europe
Portugal,5.7,578234,10270865.0,Europe
Belarus,5.6,510764,9534954.0,Europe
Finland,5.6,293921,5540745.0,Europe
Lithuania,5.6,169685,2750055.0,Europe
Russia,5.5,7815714,144713314.0,Europe
Cuba,5.5,605879,11212191.0,North America
New Zealand,5.4,221338,5185288.0,Oceania
Moldova,5.4,207247,3272996.0,Europe
Barbados,5.4,14586,281635.0,North America
Germany,5.2,2116728,83369843.0,Europe
Spain,5.2,2408700,47558630.0,Europe
Czech Republic,5.2,525488,10493986.0,Europe
Bulgaria,5.2,360724,6781953.0,Europe
Paraguay,5.2,332628,6780744.0,South America
Trinidad and Tobago,5.2,67614,1531044.0,South America
Bahamas,5.2,19138,409984.0,North America
Italy,5.1,3049986,59037474.0,Europe
Poland,5.1,1878988,39857145.0,Europe
Hungary,5.1,493783,9967308.0,Europe
United Arab Emirates,5.1,444016,9441129.0,Asia
Austria,5.1,415916,8939617.0,Europe
Slovakia,5.1,268516,5643453.0,Europe
Croatia,5.1,205541,4030358.0,Europe
Bosnia and Herzegovina,5.1,185557,3233526.0,Europe
Qatar,5.1,105684,2695122.0,Asia
Slovenia,5.1,99864,2119844.0,Europe
Cyprus,5.1,42662,1251488.0,Europe
Djibouti,5.1,43909,1120849.0,Africa
Malta,5.1,20049,533286.0,Europe
Antigua and Barbuda,5.1,4424,93763.0,North America
Romania,5.0,931842,19659267.0,Europe
Chile,5.0,844253,19603733.0,South America
Switzerland,5.0,388870,8740472.0,Europe
Serbia,5.0,419302,7221365.0,Europe
Denmark,5.0,267213,5882261.0,Europe
Kuwait,5.0,181756,4268873.0,Asia
Georgia,5.0,189241,3744385.0,Europe
Uruguay,5.0,158005,3422794.0,South America
Armenia,5.0,142712,2780469.0,Asia
Luxembourg,5.0,26350,647599.0,Europe
Iran,4.9,3637308,88550570.0,Asia
Tunisia,4.9,518432,12356117.0,Africa
Sweden,4.9,446734,10549347.0,Europe
Latvia,4.9,102702,1850651.0,Europe
Cape Verde,4.9,24240,593149.0,Africa
Saint Lucia,4.9,8892,179857.0,North America
Saint Vincent and the Grenadines,4.9,5144,103948.0,North America
France,4.8,2949572,64626628.0,Europe
Peru,4.8,1443513,34049588.0,South America
Belgium,4.8,502075,11655930.0,Europe
Ireland,4.8,212555,5023109.0,Europe
Albania,4.8,131048,2842321.0,Europe
Jamaica,4.8,134054,2827377.0,North America
Lesotho,4.8,98988,2305825.0,Africa
Bahrain,4.8,62549,1472233.0,Asia
Montenegro,4.8,28627,627082.0,Europe
Suriname,4.8,24914,618040.0,South America
Ethiopia,4.7,4480113,123379924.0,Africa
Colombia,4.7,2177280,51874024.0,South America
Argentina,4.7,1914354,45510318.0,South America
Canada,4.7,1566903,38454327.0,North America
Netherlands,4.7,752777,17564014.0,Europe
Dominican Republic,4.7,464164,11228821.0,North America
Lebanon,4.7,255280,5489739.0,Asia
Norway,4.7,227446,5434319.0,Europe
Costa Rica,4.7,216608,5180829.0,North America
Oman,4.7,199961,4576298.0,Asia
Botswana,4.7,102065,2630296.0,Africa
Grenada,4.7,4848,125438.0,North America
South Africa,4.6,2402230,59893885.0,Africa
Uganda,4.6,1747769,47249585.0,Africa
Azerbaijan,4.6,428873,10358074.0,Asia
Israel,4.6,342181,9038309.0,Asia
Singapore,4.6,162203,5975689.0,Asia
India,4.5,56675969,1417173173.0,Asia
United Kingdom,4.5,2692081,67508936.0,Europe
Algeria,4.5,1683914,44903225.0,Africa
Morocco,4.5,1484441,37457971.0,Africa
Saudi Arabia,4.5,1339976,36408820.0,Asia
Libya,4.5,265833,6812341.0,Africa
Guyana,4.5,33700,808726.0,South America
Turkey,4.4,3260677,85341241.0,Asia
Thailand,4.4,2885221,71697030.0,Asia
Kenya,4.4,1952981,54027487.0,Africa
Madagascar,4.4,1041000,29611714.0,Africa
Kazakhstan,4.4,732699,19397998.0,Asia
Bolivia,4.4,453716,12224110.0,South America
South Sudan,4.4,529011,10913164.0,Africa
El Salvador,4.4,255032,6336392.0,North America
Panama,4.4,162293,4408581.0,North America
Namibia,4.4,104001,2567012.0,Africa
Mauritius,4.4,52570,1299469.0,Africa
Comoros,4.4,33769,836774.0,Africa
Belize,4.4,14956,405272.0,North America
Haiti,4.3,437639,11584996.0,North America
Eritrea,4.3,219549,3684032.0,Africa
Gabon,4.3,7303,2388992.0,Africa
China,4.2,54815739,1425887337.0,Asia
Pakistan,4.2,7436224,235824862.0,Asia
Mexico,4.2,4936614,127504125.0,North America
Japan,4.2,5058124,123951692.0,Asia
Uzbekistan,4.2,1186450,34627652.0,Asia
Ghana,4.2,110048,33475870.000000004,Africa
Venezuela,4.2,1270099,28301696.0,South America
Burundi,4.2,448822,12889576.0,Africa
Nicaragua,4.2,238161,6948392.0,North America
Turkmenistan,4.2,214010,6430770.0,Asia
Central African Republic,4.2,202081,5579144.0,Africa
Mongolia,4.2,117436,3398366.0,Asia
Equatorial Guinea,4.2,34909,1674908.0,Africa
Eswatini,4.2,53223,1201670.0,Africa
Bhutan,4.2,30947,782455.0,Asia
Bangladesh,4.1,6391760,171186372.0,Asia
Tanzania,4.1,2138939,65497748.0,Africa
South Korea,4.1,1904645,51815810.0,Asia
Mozambique,4.1,1122987,32969517.999999996,Africa
Sri Lanka,4.1,802321,21832143.0,Asia
Malawi,4.1,679385,20405317.0,Africa
Kyrgyzstan,4.1,229637,6630623.0,Asia
Mauritania,4.1,160624,4736139.0,Africa
Iceland,4.1,12533,372899.0,Europe
Vietnam,4.0,3564934,98186856.0,Asia
Zambia,4.0,636819,20017675.0,Africa
Somalia,4.0,420387,17597511.0,Africa
Zimbabwe,4.0,603529,16320537.0,Africa
Jordan,4.0,287844,11285869.0,Asia
Honduras,4.0,308862,10432860.0,North America
Guinea-Bissau,4.0,71467,2105566.0,Africa
Seychelles,4.0,3722,107118.0,Africa
Nigeria,3.9,7079815,218541212.0,Africa
Cameroon,3.9,886273,27914536.0,Africa
Syria,3.9,688074,22125249.0,Asia
Senegal,3.9,560991,17316449.0,Africa
Guinea,3.9,474541,13859341.0,Africa
Benin,3.9,411695,13352864.0,Africa
Togo,3.9,277532,8848699.0,Africa
Sierra Leone,3.9,243895,8605718.0,Africa
Gambia,3.9,74821,2705992.0,Africa
Sao Tome and Principe,3.9,7270,227380.0,Africa
DR Congo,3.8,2871309,99010212.0,Africa
Malaysia,3.8,1127643,33938221.0,Asia
Ivory Coast,3.8,843736,28160542.0,Africa
Rwanda,3.8,425516,13776698.0,Africa
Tajikistan,3.8,304018,9952787.0,Asia
Indonesia,3.7,9162886,275501339.0,Asia
Myanmar,3.7,1917983,54179306.0,Asia
Iraq,3.7,1263249,44496122.0,Asia
North Korea,3.7,874632,26069416.0,Asia
Guatemala,3.7,580994,17843908.0,North America
Maldives,3.7,12739,523787.00000000006,Asia
Sudan,3.6,1376305,46874204.0,Africa
Angola,3.6,892128,35588987.0,Africa
Yemen,3.6,915231,33696614.0,Asia
Burkina Faso,3.6,640502,22673762.0,Africa
Mali,3.6,605969,22593590.0,Africa
Egypt,3.5,2995824,110990103.0,Africa
Chad,3.5,478228,17723315.0,Africa
Liberia,3.5,155406,5302681.0,Africa
Fiji,3.5,30568,929766.0,Africa
Niger,3.4,653348,26207977.0,Africa
Cambodia,3.4,508823,16767842.0,Asia
Philippines,3.3,3298652,115559009.0,Asia
Afghanistan,3.3,1038610,41128771.0,Asia
Nepal,3.2,890361,30547580.0,Asia
Laos,3.2,209326,7529475.0,Asia
Samoa,3.2,5803,222382.0,Oceania
Tonga,3.2,3205,106858.0,Oceania
Vanuatu,3.1,7917,326740.0,Oceania
Kiribati,3.1,3452,131232.0,Oceania
Micronesia,3.1,3182,114164.0,Oceania
Papua New Guinea,3.0,223094,10142619.0,Oceania
Timor-Leste,3.0,33932,1341296.0,Asia
Solomon Islands,2.9,16535,724273.0,Oceania
